Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Monday, June 17, 2024 6:00 AM CEST",1013,1009,24.3,62,19.4,81,16.1,---,19.4,19.4,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:05 AM CEST",1013,1009,24.3,62,19.4,81,16.1,---,19.4,19.4,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:10 AM CEST",1013,1009,24.3,62,19.4,81,16.1,---,19.4,19.4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:15 AM CEST",1013,1009,24.3,62,19.4,81,16.1,---,19.4,19.4,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:20 AM CEST",1013,1009,24.3,62,19.4,80,15.9,---,19.4,19.4,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:25 AM CEST",1013,1009,24.3,62,19.3,80,15.8,---,19.3,19.3,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:30 AM CEST",1013,1009,24.3,62,19.3,81,16.0,---,19.3,19.3,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:35 AM CEST",1013,1010,24.3,62,19.3,80,15.8,---,19.3,19.3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:40 AM CEST",1013,1009,24.3,62,19.3,80,15.8,---,19.3,19.3,65,1.8,1.8,1.8,0.0,0.0,0.0,0.0,1600,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:45 AM CEST",1013,1009,24.3,62,19.4,80,15.9,---,19.4,19.4,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 6:50 AM CEST",1013,1009,24.2,62,19.4,80,15.9,---,19.4,19.4,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
