Time,Temperatura,Humitat,Pressió atmosfèrica,Precipitació
2024-04-01,15.537735849056604,50.485849056603776,1009.7037037037037,0.0
2024-04-02,15.13576388888889,52.75,1017.8541666666666,0.0
2024-04-03,16.026041666666668,59.53819444444444,1017.1041666666666,0.0
2024-04-04,16.229166666666668,73.59722222222223,1018.8298611111111,0.0
2024-04-05,16.605574912891985,73.65505226480836,1019.5296167247387,0.0
2024-04-06,15.812152777777776,76.10763888888889,1019.5451388888889,0.0
2024-04-07,16.74895104895105,80.17132867132867,1016.5798611111111,0.0
2024-04-08,16.975294117647056,83.12941176470588,1009.9930555555555,0.0
2024-04-09,15.682105263157894,60.396491228070175,1019.3541666666666,0.0
2024-04-10,14.348263888888889,59.44444444444444,1025.875,0.0
2024-04-11,15.540925266903914,62.480427046263344,1028.2064056939503,0.0
2024-04-12,17.435416666666665,61.65972222222222,1029.3055555555557,0.0
2024-04-13,18.997916666666665,53.74652777777778,1026.4270833333333,0.0
2024-04-14,20.433680555555554,48.135416666666664,1023.21875,0.0
2024-04-15,18.32752613240418,63.20209059233449,1018.0801393728223,0.0
2024-04-16,17.15214285714286,64.875,1014.6875,0.0
2024-04-17,15.28125,63.90277777777778,1014.4409722222222,0.5
2024-04-18,14.529166666666665,70.67361111111111,1015.40625,0.3
2024-04-19,15.307604562737643,58.80988593155894,1020.3684210526316,0.0
2024-04-20,15.654195804195805,68.48251748251748,1016.1118881118881,0.0
2024-04-21,15.071874999999999,63.510416666666664,1016.0659722222222,0.3
2024-04-22,12.190277777777778,74.84375,1015.2986111111111,28.4
2024-04-23,11.817770034843205,65.13588850174216,1014.5888501742161,0.0
2024-04-24,13.15547703180212,53.908127208480565,1014.3639575971731,0.0
2024-04-25,14.14236111111111,68.58333333333333,1009.9722222222222,0.0
2024-04-26,15.506716417910448,75.69402985074628,1006.9756944444445,0.8
2024-04-27,16.930902777777778,84.61805555555556,1005.0763888888889,0.0
2024-04-28,16.114685314685314,85.88111888111888,1011.3715277777778,2.5
2024-04-29,14.17326388888889,91.23958333333333,1013.8333333333334,61.7
2024-04-30,15.412152777777777,86.55902777777777,1011.7395833333334,0.3
