Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Thursday, August 1, 2024 7:10 AM CEST",1012,1008,25.2,56,26.8,64,19.4,28.1,26.8,28.1,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:15 AM CEST",1012,1008,25.2,56,26.9,65,19.8,28.3,26.9,28.3,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:20 AM CEST",1012,1008,25.2,56,26.9,66,20.0,28.4,26.9,28.4,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2449,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:25 AM CEST",1012,1008,25.1,55,27.0,66,20.1,28.5,27.0,28.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:30 AM CEST",1012,1008,25.1,55,27.0,67,20.4,28.6,27.0,28.6,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:35 AM CEST",1012,1008,25.0,55,27.0,66,20.1,28.5,27.0,28.5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:40 AM CEST",1012,1009,25.0,55,27.1,66,20.2,28.7,27.1,28.7,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:45 AM CEST",1012,1008,25.0,55,27.1,65,20.0,28.6,27.1,28.6,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4370,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:50 AM CEST",1012,1008,24.9,55,27.2,65,20.1,28.8,27.2,28.8,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4719,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:55 AM CEST",1012,1008,24.9,55,27.3,65,20.1,28.9,27.3,28.9,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
