Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Sunday, September 1, 2024 7:15 AM CEST",1013,1009,26.1,60,25.1,69,19.0,26.1,25.1,25.1,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:20 AM CEST",1013,1009,26.2,60,25.1,68,18.8,26.1,25.1,25.1,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:25 AM CEST",1013,1009,26.2,60,25.1,68,18.8,26.1,25.1,25.1,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:30 AM CEST",1013,1009,26.2,60,25.1,66,18.3,26.1,25.1,25.1,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:35 AM CEST",1013,1009,26.2,60,25.1,66,18.3,26.1,25.1,25.1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:40 AM CEST",1013,1009,26.2,60,25.1,64,17.8,26.1,25.1,25.1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:45 AM CEST",1013,1009,26.2,60,25.1,65,18.1,26.1,25.1,25.1,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:50 AM CEST",1013,1009,26.2,60,25.1,64,17.8,26.1,25.1,25.1,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 7:55 AM CEST",1013,1009,26.2,60,25.1,64,17.8,26.1,25.1,25.1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:00 AM CEST",1013,1009,26.2,60,25.1,65,18.1,26.1,25.1,25.1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
