Time,Temperatura,Humitat,Pressió atmosfèrica,Precipitació
2024-02-01,13.972222222222221,64.98484848484848,1031.4607843137255,0.0
2024-02-02,13.43169014084507,68.17605633802818,1031.013888888889,0.0
2024-02-03,13.478124999999999,67.20833333333333,1030.7083333333333,0.3
2024-02-04,13.839930555555556,65.56944444444444,1029.111111111111,0.0
2024-02-05,13.52218309859155,64.36619718309859,1026.561403508772,0.0
2024-02-06,12.544280442804428,74.00738007380073,1023.1319444444445,0.0
2024-02-07,13.554416961130743,64.97526501766785,1018.2673611111111,0.0
2024-02-08,15.112499999999999,61.78819444444444,1010.0104166666666,0.0
2024-02-09,14.497560975609757,73.9616724738676,995.3135888501743,5.3
2024-02-10,13.428125000000001,72.16666666666667,989.1631944444445,2.0
2024-02-11,12.756597222222222,46.670138888888886,1003.5,0.0
2024-02-12,14.100000000000001,55.40277777777778,1007.8923611111111,0.0
2024-02-13,13.404626334519572,71.42348754448399,1020.5659722222222,0.0
2024-02-14,13.943750000000001,74.01736111111111,1023.6354166666666,0.0
2024-02-15,14.34115523465704,81.8158844765343,1019.3597122302158,0.0
2024-02-16,14.039024390243902,79.05923344947735,1019.21875,0.3
2024-02-17,14.929368029739777,70.86988847583643,1026.982638888889,1.8
2024-02-18,14.622661870503597,63.381294964028775,1031.6411149825783,0.0
2024-02-19,14.765625,63.947916666666664,1029.6215277777778,0.0
2024-02-20,14.235763888888888,67.68055555555556,1027.2291666666667,0.0
2024-02-21,13.608680555555557,72.22916666666667,1024.3194444444443,0.0
2024-02-22,14.412280701754385,76.18245614035088,1010.140350877193,0.0
2024-02-23,12.681944444444445,59.97569444444444,1004.8611111111111,15.7
2024-02-24,11.176655052264808,56.0,1008.1111111111111,0.3
2024-02-25,12.262847222222222,64.67013888888889,1007.5451388888889,0.0
2024-02-26,14.172953736654804,64.48042704626334,999.3368055555555,0.0
2024-02-27,12.965972222222222,60.666666666666664,1006.1944444444445,0.0
2024-02-28,13.74826388888889,46.46180555555556,1014.0625,0.0
2024-02-29,13.287152777777777,52.989583333333336,1012.3819444444445,0.5
