Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Wednesday, May 1, 2024 7:15 AM CEST",1006,1006,22.1,58,13.6,90,12.0,---,13.6,13.6,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:20 AM CEST",1006,1006,22.2,58,13.5,90,11.9,---,13.5,13.5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1329,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:25 AM CEST",1005,1006,22.3,58,13.5,91,12.1,---,13.5,13.5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:30 AM CEST",1005,1006,22.4,58,13.4,91,12.0,---,13.4,13.4,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:35 AM CEST",1006,1006,22.5,58,13.4,91,12.0,---,13.4,13.4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:40 AM CEST",1005,1006,22.6,58,13.4,91,12.0,---,13.4,13.4,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:45 AM CEST",1005,1006,22.8,58,13.5,91,12.1,---,13.5,13.5,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:50 AM CEST",1005,1006,22.8,57,13.5,90,11.9,---,13.5,13.5,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 7:55 AM CEST",1006,1006,22.9,57,13.5,90,11.9,---,13.5,13.5,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 8:00 AM CEST",1006,1006,23.0,57,13.5,90,11.9,---,13.5,13.5,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 8:05 AM CEST",1005,1006,23.1,57,13.4,90,11.8,---,13.4,13.4,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
