Time,Temperatura,Humitat,Pressió atmosfèrica,Precipitació
2024-01-08,9.14311377245509,41.75449101796407,1015.6685714285715,0.0
2024-01-09,8.536290322580646,60.020161290322584,1019.9556451612904,0.0
2024-01-10,9.14092664092664,75.94980694980696,1018.4092664092664,5.1
2024-01-11,9.372941176470588,70.97647058823529,1019.6156862745098,0.0
2024-01-12,9.752857142857144,59.982142857142854,1024.2348754448399,0.0
2024-01-13,9.335416666666667,60.64930555555556,1022.9583333333334,0.0
2024-01-14,13.091803278688525,51.200819672131146,1013.9097222222222,0.0
2024-01-15,13.95639097744361,67.59774436090225,1009.1215277777778,0.0
2024-01-16,13.234831460674156,79.76404494382022,1009.0555555555555,0.0
2024-01-17,15.690592334494774,69.85365853658537,1001.1631944444445,0.0
2024-01-18,17.299305555555556,51.357638888888886,1004.5416666666666,0.0
2024-01-19,11.362545454545455,75.35272727272728,1011.2604166666666,7.6
2024-01-20,9.650694444444445,63.74305555555556,1024.0416666666667,0.0
2024-01-21,10.502430555555556,67.26736111111111,1032.5034722222222,0.0
2024-01-22,11.643205574912892,61.0801393728223,1031.7604166666667,0.0
2024-01-23,11.646311475409835,75.09836065573771,1034.6284722222222,0.0
2024-01-24,12.589964157706094,78.60573476702508,1034.795138888889,0.0
2024-01-25,13.256028368794325,75.37943262411348,1030.701388888889,0.0
2024-01-26,13.952777777777778,70.73958333333333,1030.2395833333333,0.0
2024-01-27,12.869642857142857,77.15714285714286,1030.1458333333333,0.0
2024-01-28,12.653125,79.83333333333333,1030.7777777777778,0.0
2024-01-29,13.879861111111111,77.80555555555556,1031.9375,0.0
2024-01-30,13.409059233449478,75.36585365853658,1033.2847222222222,0.0
2024-01-31,12.957291666666666,71.08680555555556,1033.9965277777778,0.0
2024-02-01,12.935338345864663,67.6203007518797,1031.78125,0.0
2024-02-02,13.43169014084507,68.17605633802818,1031.013888888889,0.0
2024-02-03,13.478124999999999,67.20833333333333,1030.7083333333333,0.3
2024-02-04,13.839930555555556,65.56944444444444,1029.111111111111,0.0
2024-02-05,13.52218309859155,64.36619718309859,1026.561403508772,0.0
2024-02-06,12.544280442804428,74.00738007380073,1023.1319444444445,0.0
2024-02-07,13.554416961130743,64.97526501766785,1018.2673611111111,0.0
2024-02-08,15.112152777777778,61.78819444444444,1010.0104166666666,0.0
2024-02-09,14.497560975609757,73.9616724738676,995.3135888501743,5.3
2024-02-10,13.428125000000001,72.16666666666667,989.1631944444445,2.0
2024-02-11,12.756597222222222,46.670138888888886,1003.5,0.0
2024-02-12,14.100000000000001,55.40277777777778,1007.8923611111111,0.0
2024-02-13,13.404626334519572,71.42348754448399,1020.5659722222222,0.0
2024-02-14,13.943750000000001,74.01736111111111,1023.6354166666666,0.0
2024-02-15,14.34115523465704,81.8158844765343,1019.3597122302158,0.0
2024-02-16,14.039024390243902,79.05923344947735,1019.21875,0.3
2024-02-17,14.929368029739777,70.86988847583643,1026.982638888889,1.8
2024-02-18,14.615770609318997,63.44086021505376,1031.638888888889,0.0
2024-02-19,14.765625,63.947916666666664,1029.6215277777778,0.0
2024-02-20,14.235763888888888,67.68055555555556,1027.2291666666667,0.0
2024-02-21,13.608680555555557,72.22916666666667,1024.3194444444443,0.0
2024-02-22,14.412280701754385,76.18245614035088,1010.140350877193,0.0
2024-02-23,12.681944444444445,59.97569444444444,1004.8611111111111,15.7
2024-02-24,11.176655052264808,56.0,1008.1111111111111,0.3
2024-02-25,12.262847222222222,64.67013888888889,1007.5451388888889,0.0
2024-02-26,14.172953736654804,64.48042704626334,999.3368055555555,0.0
2024-02-27,12.965972222222222,60.666666666666664,1006.1944444444445,0.0
2024-02-28,13.74826388888889,46.46180555555556,1014.0625,0.0
2024-02-29,13.287152777777777,52.989583333333336,1012.3819444444445,0.5
2024-03-01,14.114930555555555,53.59027777777778,1009.6111111111111,0.8
2024-03-02,14.00173611111111,59.677083333333336,1004.15625,0.0
2024-03-03,11.572569444444445,60.28819444444444,1000.0555555555555,10.9
2024-03-04,12.437282229965156,41.832752613240416,1011.6215277777778,0.0
2024-03-05,13.372222222222222,60.60069444444444,1018.96875,0.0
2024-03-06,12.657291666666667,68.72916666666667,1021.0381944444445,0.0
2024-03-07,12.71602787456446,74.54355400696865,1014.8125,0.0
2024-03-08,14.277430555555554,68.69444444444444,1004.8020833333334,1.8
2024-03-09,12.439930555555556,82.74305555555556,997.6215277777778,25.7
2024-03-10,12.083680555555555,65.26041666666667,997.9375,0.8
2024-03-11,13.497569444444444,60.3125,1009.8090277777778,0.0
2024-03-12,12.901041666666666,63.763888888888886,1020.4652777777778,0.0
2024-03-13,13.648958333333333,66.20138888888889,1018.1979166666666,0.0
2024-03-14,14.036805555555555,70.23611111111111,1017.0243055555555,0.0
2024-03-15,14.774305555555555,79.67013888888889,1019.0625,0.0
2024-03-16,15.796875,74.37152777777777,1023.5,0.0
2024-03-17,15.253124999999999,79.19097222222223,1020.8680555555555,0.0
2024-03-18,15.279442508710801,76.31010452961672,1017.7326388888889,0.0
2024-03-19,16.231250000000003,70.36111111111111,1016.6909722222222,0.0
2024-03-20,15.439930555555556,78.53125,1018.6319444444445,0.0
2024-03-21,15.398958333333333,78.35763888888889,1023.5625,0.0
2024-03-22,17.805555555555557,68.82291666666667,1019.6111111111111,0.0
2024-03-23,16.735069444444445,71.86805555555556,1018.15625,0.0
2024-03-24,14.680555555555555,75.96527777777777,1015.5,0.0
2024-03-25,13.23611111111111,79.875,1002.6284722222222,4.8
2024-03-26,13.892708333333333,75.89236111111111,990.4652777777778,17.3
